plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,Pho1[-M]#35,2,500,1.0,0.7494357692110625,0.4121201155615383,-0.0032245491951304,0.3373156536495241,0.4153446647566687,0.2505642307889375
rice,Pho1[-M]#35,2,1000,1.0,0.7404074702838601,0.551008134196644,-0.0024777424801364,0.1893993360872161,0.5534858766767804,0.2595925297161399
rice,Pho1[-M]#35,2,1700,1.0,0.6740631093606675,0.575457512543913,2.563740964319967e-05,0.0986055968167545,0.5754318751342697,0.3259368906393325
rice,Pho1[-M]#36,1,250,1.0,0.5926043597074012,0.2442420980016343,0.002044889545594,0.3483622617057668,0.2421972084560403,0.4073956402925988
rice,Pho1[-M]#36,1,500,1.0,0.6026438304553917,0.269464346069693,0.0025209146195905,0.3331794843856987,0.2669434314501024,0.3973561695446083
rice,Pho1[-M]#36,1,1000,1.0,0.6457990970371495,0.4397327118938453,0.0025410311088824,0.2060663851433042,0.4371916807849629,0.3542009029628504
rice,Pho1[-M]#36,1,1700,1.0,0.6677828040963134,0.5620515420352489,0.0004361630040481,0.1057312620610645,0.5616153790312007,0.3322171959036866
rice,Pho1[-M]#36,2,250,1.0,0.4922756805947247,0.1874242248966896,0.0012602189453658,0.304851455698035,0.1861640059513238,0.5077243194052753
rice,Pho1[-M]#36,2,500,1.0,0.5405852904698316,0.2548372651212415,0.0003954406712129,0.2857480253485901,0.2544418244500286,0.4594147095301684
rice,Pho1[-M]#36,2,1000,1.0,0.6048227277590456,0.4269477520716833,0.001016067807752,0.1778749756873622,0.4259316842639313,0.3951772722409544
rice,Pho1[-M]#36,2,1700,1.0,0.6073596696592304,0.5099635840292335,0.0001315795107148,0.0973960856299969,0.5098320045185186,0.3926403303407696
rice,Pho1[-N]#10,1,250,1.0,0.4810085962935218,0.116459432818437,-0.0001281250227929,0.3645491634750847,0.1165875578412299,0.5189914037064782
rice,Pho1[-N]#10,1,500,1.0,0.5272172504429791,0.2108866274533791,0.001380499868005,0.3163306229895999,0.2095061275853741,0.4727827495570209
rice,Pho1[-N]#10,1,1000,1.0,0.6029192594514543,0.3793507395749733,-0.0012286710294344,0.223568519876481,0.3805794106044077,0.3970807405485457
rice,Pho1[-N]#10,1,1700,1.0,0.7012878940750321,0.535015421599233,-0.0006403465756437,0.1662724724757991,0.5356557681748767,0.2987121059249679
