,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
761,artifact,4025.0,55.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.025,rice,4191_2_DA.json,0
762,artifact,4030.0,60.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.03,rice,4191_2_DA.json,0
763,artifact,4035.0,65.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.035,rice,4191_2_DA.json,0
764,artifact,4040.0,70.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.04,rice,4191_2_DA.json,0
765,artifact,4045.0,75.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.045,rice,4191_2_DA.json,0
766,artifact,4050.0,80.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.05,rice,4191_2_DA.json,0
767,artifact,4055.0,85.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.055,rice,4191_2_DA.json,0
768,artifact,4060.0,90.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.06,rice,4191_2_DA.json,0
769,artifact,4065.0,95.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.065,rice,4191_2_DA.json,0
770,artifact,4070.0,100.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.07,rice,4191_2_DA.json,0
771,artifact,4075.0,105.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.075,rice,4191_2_DA.json,0
772,artifact,4080.0,110.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.08,rice,4191_2_DA.json,0
773,artifact,4085.0,115.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.085,rice,4191_2_DA.json,0
774,artifact,4090.0,120.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.09,rice,4191_2_DA.json,0
775,artifact,4095.0,125.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.095,rice,4191_2_DA.json,0
776,artifact,4100.0,130.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.1,rice,4191_2_DA.json,0
777,artifact,4105.0,135.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.105,rice,4191_2_DA.json,0
778,artifact,4110.0,140.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.11,rice,4191_2_DA.json,0
779,artifact,4115.0,145.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.115,rice,4191_2_DA.json,0
780,artifact,4120.0,150.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.12,rice,4191_2_DA.json,0
781,artifact,4125.0,155.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.125,rice,4191_2_DA.json,0
782,artifact,4130.0,160.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.13,rice,4191_2_DA.json,0
783,artifact,4135.0,165.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.135,rice,4191_2_DA.json,0
784,artifact,4140.0,170.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.14,rice,4191_2_DA.json,0
785,artifact,4145.0,175.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.145,rice,4191_2_DA.json,0
786,artifact,4150.0,180.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.15,rice,4191_2_DA.json,0
787,artifact,4155.0,185.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.155,rice,4191_2_DA.json,0
788,artifact,4160.0,190.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.16,rice,4191_2_DA.json,0
789,artifact,4165.0,195.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.165,rice,4191_2_DA.json,0
790,artifact,4170.0,200.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.17,rice,4191_2_DA.json,0
791,artifact,4175.0,205.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.175,rice,4191_2_DA.json,0
792,artifact,4180.0,210.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.18,rice,4191_2_DA.json,0
793,artifact,4185.0,215.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.185,rice,4191_2_DA.json,0
794,artifact,4190.0,220.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.19,rice,4191_2_DA.json,0
795,artifact,4195.0,225.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.195,rice,4191_2_DA.json,0
796,artifact,4200.0,230.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.2,rice,4191_2_DA.json,0
797,artifact,4205.0,235.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.205,rice,4191_2_DA.json,0
798,artifact,4210.0,240.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.21,rice,4191_2_DA.json,0
799,artifact,4215.0,245.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.215,rice,4191_2_DA.json,0
800,artifact,4220.0,250.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.22,rice,4191_2_DA.json,0
801,artifact,4225.0,255.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.225,rice,4191_2_DA.json,0
802,artifact,4230.0,260.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.23,rice,4191_2_DA.json,0
803,artifact,4235.0,265.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.235,rice,4191_2_DA.json,0
804,artifact,4240.0,270.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.24,rice,4191_2_DA.json,0
805,artifact,4245.0,275.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.245,rice,4191_2_DA.json,0
806,artifact,4250.0,280.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.25,rice,4191_2_DA.json,0
807,artifact,4255.0,285.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.255,rice,4191_2_DA.json,0
808,artifact,4260.0,290.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.26,rice,4191_2_DA.json,0
809,artifact,4265.0,295.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.265,rice,4191_2_DA.json,0
810,artifact,4270.0,300.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.27,rice,4191_2_DA.json,0
811,artifact,4275.0,305.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.275,rice,4191_2_DA.json,0
812,artifact,4280.0,310.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.28,rice,4191_2_DA.json,0
813,artifact,4285.0,315.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.285,rice,4191_2_DA.json,0
814,artifact,4290.0,320.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.29,rice,4191_2_DA.json,0
815,artifact,4295.0,325.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.295,rice,4191_2_DA.json,0
816,artifact,4300.0,330.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.3,rice,4191_2_DA.json,0
817,artifact,4305.0,335.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.305,rice,4191_2_DA.json,0
818,artifact,4310.0,340.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.31,rice,4191_2_DA.json,0
819,artifact,4315.0,345.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.315,rice,4191_2_DA.json,0
820,artifact,4320.0,350.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.32,rice,4191_2_DA.json,0
821,artifact,4325.0,355.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.325,rice,4191_2_DA.json,0
822,artifact,4330.0,360.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.33,rice,4191_2_DA.json,0
823,artifact,4335.0,365.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.335,rice,4191_2_DA.json,0
824,artifact,4340.0,370.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.34,rice,4191_2_DA.json,0
825,artifact,4345.0,375.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.345,rice,4191_2_DA.json,0
826,artifact,4350.0,380.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.35,rice,4191_2_DA.json,0
827,artifact,4355.0,385.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.355,rice,4191_2_DA.json,0
828,artifact,4360.0,390.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.36,rice,4191_2_DA.json,0
829,artifact,4365.0,395.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.365,rice,4191_2_DA.json,0
830,artifact,4370.0,400.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.37,rice,4191_2_DA.json,0
831,artifact,4375.0,405.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.375,rice,4191_2_DA.json,0
832,artifact,4380.0,410.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.38,rice,4191_2_DA.json,0
833,artifact,4385.0,415.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.385,rice,4191_2_DA.json,0
834,artifact,4390.0,420.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.39,rice,4191_2_DA.json,0
835,artifact,4395.0,425.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.395,rice,4191_2_DA.json,0
836,artifact,4400.0,430.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.4,rice,4191_2_DA.json,0
837,artifact,4405.0,435.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.405,rice,4191_2_DA.json,0
838,artifact,4410.0,440.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.41,rice,4191_2_DA.json,0
839,artifact,4415.0,445.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.415,rice,4191_2_DA.json,0
840,artifact,4420.0,450.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.42,rice,4191_2_DA.json,0
841,artifact,4425.0,455.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.425,rice,4191_2_DA.json,0
842,artifact,4430.0,460.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.43,rice,4191_2_DA.json,0
843,artifact,4435.0,465.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.435,rice,4191_2_DA.json,0
844,artifact,4440.0,470.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.44,rice,4191_2_DA.json,0
845,artifact,4445.0,475.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.445,rice,4191_2_DA.json,0
846,artifact,4450.0,480.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.45,rice,4191_2_DA.json,0
