,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
72,p700_reference,386.0,360.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.386,rice,HC69_3_DA.json,0
73,p700_reference,391.0,365.0,820nm,52969,20240623_062324_maize_HC69_3_DA,0,0.391,rice,HC69_3_DA.json,0
74,p700_reference,396.0,370.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.396,rice,HC69_3_DA.json,0
75,p700_reference,401.0,375.0,820nm,52977,20240623_062324_maize_HC69_3_DA,0,0.401,rice,HC69_3_DA.json,0
76,p700_reference,406.0,380.0,820nm,52973,20240623_062324_maize_HC69_3_DA,0,0.406,rice,HC69_3_DA.json,0
77,p700_reference,411.0,385.0,820nm,52989,20240623_062324_maize_HC69_3_DA,0,0.411,rice,HC69_3_DA.json,0
78,p700_reference,416.0,390.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.416,rice,HC69_3_DA.json,0
79,p700_reference,421.0,395.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.421,rice,HC69_3_DA.json,0
80,p700_reference,426.0,400.0,820nm,52974,20240623_062324_maize_HC69_3_DA,0,0.426,rice,HC69_3_DA.json,0
81,p700_reference,431.0,405.0,820nm,52969,20240623_062324_maize_HC69_3_DA,0,0.431,rice,HC69_3_DA.json,0
82,p700_reference,436.0,410.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.436,rice,HC69_3_DA.json,0
83,p700_reference,441.0,415.0,820nm,52969,20240623_062324_maize_HC69_3_DA,0,0.441,rice,HC69_3_DA.json,0
84,p700_reference,446.0,420.0,820nm,52967,20240623_062324_maize_HC69_3_DA,0,0.446,rice,HC69_3_DA.json,0
85,p700_reference,451.0,425.0,820nm,52978,20240623_062324_maize_HC69_3_DA,0,0.451,rice,HC69_3_DA.json,0
86,p700_reference,456.0,430.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.456,rice,HC69_3_DA.json,0
87,p700_reference,461.0,435.0,820nm,52989,20240623_062324_maize_HC69_3_DA,0,0.461,rice,HC69_3_DA.json,0
88,p700_reference,466.0,440.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.466,rice,HC69_3_DA.json,0
89,p700_reference,471.0,445.0,820nm,52973,20240623_062324_maize_HC69_3_DA,0,0.471,rice,HC69_3_DA.json,0
90,p700_reference,476.0,450.0,820nm,52982,20240623_062324_maize_HC69_3_DA,0,0.476,rice,HC69_3_DA.json,0
91,p700_reference,481.0,455.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.481,rice,HC69_3_DA.json,0
92,p700_reference,486.0,460.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.486,rice,HC69_3_DA.json,0
93,p700_reference,491.0,465.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.491,rice,HC69_3_DA.json,0
94,p700_reference,496.0,470.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.496,rice,HC69_3_DA.json,0
95,p700_reference,501.0,475.0,820nm,52994,20240623_062324_maize_HC69_3_DA,0,0.501,rice,HC69_3_DA.json,0
96,p700_reference,506.0,480.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.506,rice,HC69_3_DA.json,0
97,p700_reference,511.0,485.0,820nm,52974,20240623_062324_maize_HC69_3_DA,0,0.511,rice,HC69_3_DA.json,0
98,p700_reference,516.0,490.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.516,rice,HC69_3_DA.json,0
99,p700_reference,521.0,495.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.521,rice,HC69_3_DA.json,0
100,p700_reference,526.0,500.0,820nm,52947,20240623_062324_maize_HC69_3_DA,0,0.526,rice,HC69_3_DA.json,0
101,p700_reference,531.0,505.0,820nm,52973,20240623_062324_maize_HC69_3_DA,0,0.531,rice,HC69_3_DA.json,0
102,p700_reference,536.0,510.0,820nm,52973,20240623_062324_maize_HC69_3_DA,0,0.536,rice,HC69_3_DA.json,0
103,p700_reference,541.0,515.0,820nm,52977,20240623_062324_maize_HC69_3_DA,0,0.541,rice,HC69_3_DA.json,0
104,p700_reference,546.0,520.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.546,rice,HC69_3_DA.json,0
105,p700_reference,551.0,525.0,820nm,52982,20240623_062324_maize_HC69_3_DA,0,0.551,rice,HC69_3_DA.json,0
106,p700_reference,556.0,530.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.556,rice,HC69_3_DA.json,0
107,p700_reference,561.0,535.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.561,rice,HC69_3_DA.json,0
108,p700_reference,566.0,540.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.566,rice,HC69_3_DA.json,0
109,p700_reference,571.0,545.0,820nm,52976,20240623_062324_maize_HC69_3_DA,0,0.571,rice,HC69_3_DA.json,0
110,p700_reference,576.0,550.0,820nm,52970,20240623_062324_maize_HC69_3_DA,0,0.576,rice,HC69_3_DA.json,0
111,p700_reference,581.0,555.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.581,rice,HC69_3_DA.json,0
112,p700_reference,586.0,560.0,820nm,52986,20240623_062324_maize_HC69_3_DA,0,0.586,rice,HC69_3_DA.json,0
113,p700_reference,591.0,565.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.591,rice,HC69_3_DA.json,0
114,p700_reference,596.0,570.0,820nm,52995,20240623_062324_maize_HC69_3_DA,0,0.596,rice,HC69_3_DA.json,0
115,p700_reference,601.0,575.0,820nm,52986,20240623_062324_maize_HC69_3_DA,0,0.601,rice,HC69_3_DA.json,0
116,p700_reference,606.0,580.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.606,rice,HC69_3_DA.json,0
117,p700_reference,611.0,585.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.611,rice,HC69_3_DA.json,0
118,p700_reference,616.0,590.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.616,rice,HC69_3_DA.json,0
119,p700_reference,621.0,595.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.621,rice,HC69_3_DA.json,0
120,p700_reference,626.0,600.0,820nm,52982,20240623_062324_maize_HC69_3_DA,0,0.626,rice,HC69_3_DA.json,0
121,p700_reference,631.0,605.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.631,rice,HC69_3_DA.json,0
122,p700_reference,636.0,610.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.636,rice,HC69_3_DA.json,0
123,p700_reference,641.0,615.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.641,rice,HC69_3_DA.json,0
124,p700_reference,646.0,620.0,820nm,52977,20240623_062324_maize_HC69_3_DA,0,0.646,rice,HC69_3_DA.json,0
125,p700_reference,651.0,625.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.651,rice,HC69_3_DA.json,0
126,p700_reference,656.0,630.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.656,rice,HC69_3_DA.json,0
127,p700_reference,661.0,635.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.661,rice,HC69_3_DA.json,0
128,p700_reference,666.0,640.0,820nm,52991,20240623_062324_maize_HC69_3_DA,0,0.666,rice,HC69_3_DA.json,0
129,p700_reference,671.0,645.0,820nm,52995,20240623_062324_maize_HC69_3_DA,0,0.671,rice,HC69_3_DA.json,0
130,p700_reference,676.0,650.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.676,rice,HC69_3_DA.json,0
131,p700_reference,681.0,655.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.681,rice,HC69_3_DA.json,0
132,p700_reference,686.0,660.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.686,rice,HC69_3_DA.json,0
133,p700_reference,691.0,665.0,820nm,52995,20240623_062324_maize_HC69_3_DA,0,0.691,rice,HC69_3_DA.json,0
134,p700_reference,696.0,670.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.696,rice,HC69_3_DA.json,0
135,p700_reference,701.0,675.0,820nm,52991,20240623_062324_maize_HC69_3_DA,0,0.701,rice,HC69_3_DA.json,0
136,p700_reference,706.0,680.0,820nm,52993,20240623_062324_maize_HC69_3_DA,0,0.706,rice,HC69_3_DA.json,0
137,p700_reference,711.0,685.0,820nm,52995,20240623_062324_maize_HC69_3_DA,0,0.711,rice,HC69_3_DA.json,0
138,p700_reference,716.0,690.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.716,rice,HC69_3_DA.json,0
139,p700_reference,721.0,695.0,820nm,52990,20240623_062324_maize_HC69_3_DA,0,0.721,rice,HC69_3_DA.json,0
140,p700_reference,726.0,700.0,820nm,52984,20240623_062324_maize_HC69_3_DA,0,0.726,rice,HC69_3_DA.json,0
141,p700_reference,731.0,705.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.731,rice,HC69_3_DA.json,0
142,p700_reference,736.0,710.0,820nm,52995,20240623_062324_maize_HC69_3_DA,0,0.736,rice,HC69_3_DA.json,0
143,p700_reference,741.0,715.0,820nm,53003,20240623_062324_maize_HC69_3_DA,0,0.741,rice,HC69_3_DA.json,0
144,p700_reference,746.0,720.0,820nm,53005,20240623_062324_maize_HC69_3_DA,0,0.746,rice,HC69_3_DA.json,0
145,p700_reference,751.0,725.0,820nm,52991,20240623_062324_maize_HC69_3_DA,0,0.751,rice,HC69_3_DA.json,0
146,p700_reference,756.0,730.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.756,rice,HC69_3_DA.json,0
147,p700_reference,761.0,735.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.761,rice,HC69_3_DA.json,0
