plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,4192_3_DA.json,0,250,1.0,0.4217819031016367,0.118624162871083,0.0057222327888591,0.3031577402305536,0.1129019300822239,0.5782180968983632
rice,4192_3_DA.json,0,500,1.0,0.5196665115151622,0.2241003933652765,0.0018401842390327,0.2955661181498856,0.2222602091262437,0.4803334884848378
rice,4192_3_DA.json,0,1000,1.0,0.6834960291686355,0.4413815142300409,0.0077458409600905,0.2421145149385945,0.4336356732699504,0.3165039708313645
rice,4192_3_DA.json,0,1700,1.0,0.7842643695898401,0.6206952593794172,0.0055217566941286,0.1635691102104229,0.6151735026852885,0.2157356304101598
rice,4193_1_DA.json,0,250,1.0,0.4010056680265489,0.1160180769581472,0.0008065513796074,0.2849875910684016,0.1152115255785398,0.5989943319734511
rice,4193_1_DA.json,0,500,1.0,0.5201462773240956,0.231809365742442,0.0007264965209964,0.2883369115816535,0.2310828692214456,0.4798537226759044
rice,4193_1_DA.json,0,1000,1.0,0.6930475287617867,0.4397294697749994,0.0008881504515848,0.2533180589867872,0.4388413193234146,0.3069524712382133
rice,4193_1_DA.json,0,1700,1.0,0.8060397538089021,0.6411764167759665,0.0006997948407499,0.1648633370329356,0.6404766219352166,0.1939602461910978
rice,4193_2_DA.json,0,250,1.0,0.3931563231294175,0.1189887450487632,-0.0051375360599765,0.2741675780806542,0.1241262811087397,0.6068436768705825
rice,4193_2_DA.json,0,500,1.0,0.5133397252001705,0.208784937883014,-0.000399116174761,0.3045547873171564,0.2091840540577751,0.4866602747998295
rice,4193_2_DA.json,0,1000,1.0,0.625875079154069,0.3884975950303524,-0.0023910840333937,0.2373774841237166,0.3908886790637462,0.3741249208459309
rice,4193_2_DA.json,0,1700,1.0,0.7760542522111775,0.5917783709072112,-0.0011723565694319,0.1842758813039663,0.5929507274766431,0.2239457477888224
rice,4193_3_DA.json,0,250,1.0,0.375044435540836,0.1035166834453523,0.0003504989564007,0.2715277520954837,0.1031661844889515,0.624955564459164
rice,4193_3_DA.json,0,500,1.0,0.4845033191108821,0.2126301746790044,0.0016309834616739,0.2718731444318776,0.2109991912173304,0.5154966808891179
rice,4193_3_DA.json,0,1000,1.0,0.6099914105564017,0.38318831944841,0.0033630969394173,0.2268030911079916,0.3798252225089926,0.3900085894435983
rice,4193_3_DA.json,0,1700,1.0,0.7375820882355603,0.5623419696811519,0.0025161415462798,0.1752401185544083,0.559825828134872,0.2624179117644397
